City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Date
gizo,SB,81.48,78,67,7.67,-8.1,156.84,1600108136
simbahan,PH,83.73,72,100,6.69,6.3,120.58,1600108136
altoona,US,72.0,51,1,1.99,40.52,-78.39,1600108013
hobyo,SO,78.39,84,1,28.66,5.35,48.53,1600108136
komsomolskiy,UZ,73.4,40,1,4.7,40.43,71.72,1600108136
ixtapa,MX,87.01,70,20,5.82,20.7,-105.2,1600108137
tanabe,JP,66.99,88,0,4.99,33.73,135.37,1600108137
bahir dar,ET,61.59,84,51,4.03,11.59,37.39,1600108137
teknaf,BD,81.16,87,100,6.38,20.86,92.31,1600108137
wajima,JP,70.48,75,50,9.69,37.4,136.9,1600108137
macomer,IT,78.8,61,70,4.7,40.26,8.77,1600108137
biltine,TD,86.76,54,24,9.19,14.53,20.92,1600108138
banjar,ID,77.0,100,20,5.82,-8.19,114.97,1600108138
altus,US,77.0,50,1,10.29,34.64,-99.33,1600107982
vao,NC,69.03,81,2,18.39,-22.67,167.48,1600108138
thurso,GB,60.8,82,75,5.82,58.59,-3.53,1600108138
sri aman,MY,73.4,100,100,0.38,1.24,111.46,1600108138
krasnoselkup,RU,48.09,89,86,8.03,65.7,82.47,1600108004
adiake,CI,78.8,88,40,6.93,5.29,-3.3,1600108138
nabire,ID,75.16,90,100,4.03,-3.37,135.48,1600108139
wanaka,NZ,37.81,80,62,7.31,-44.7,169.15,1600108139
mendi,PG,54.82,100,93,0.83,-6.18,143.65,1600108139
kostino,RU,46.63,91,99,6.29,58.91,53.27,1600108139
zykovo,RU,39.2,100,50,2.24,55.95,93.15,1600108139
faya,SA,71.6,77,74,3.71,18.39,42.45,1600108139
mount pleasant,US,91.0,66,75,8.7,32.79,-79.86,1600108140
polson,US,64.0,62,100,1.99,47.69,-114.16,1600108140
beloha,MG,79.3,45,91,3.87,-25.17,45.05,1600108140
west wendover,US,73.4,13,1,8.05,40.74,-114.07,1600108140
road town,VG,89.6,70,40,8.05,18.42,-64.62,1600108140
beni,CD,65.28,98,46,0.6,0.5,29.47,1600108140
kota kinabalu,MY,75.2,100,40,8.48,5.97,116.07,1600107950
kaohsiung,TW,82.99,83,40,3.36,22.62,120.31,1600108027
otradnoye,RU,55.99,88,0,7.07,59.78,30.82,1600108141
golden,US,82.0,17,20,5.17,39.76,-105.22,1600108141
vilyuysk,RU,45.25,88,84,4.92,63.76,121.62,1600108141
yeppoon,AU,62.6,93,5,6.93,-23.13,150.73,1600108141
shancheng,CN,66.7,91,99,5.99,34.8,116.08,1600108141
nantucket,US,75.2,50,1,21.92,41.28,-70.1,1600108142
san miguel,SV,91.4,70,20,4.7,13.48,-88.18,1600108142
cheyenne,US,80.6,14,1,9.17,41.14,-104.82,1600107968
quatre cocos,MU,68.0,52,40,16.11,-20.21,57.76,1600108142
port macquarie,AU,54.0,93,9,5.17,-31.43,152.92,1600108142
marfino,RU,54.0,93,96,8.95,55.7,37.38,1600107847
sorland,NO,50.0,87,75,8.05,67.67,12.69,1600108142
mazagao,BR,91.4,59,40,5.82,-0.12,-51.29,1600108143
marzuq,YE,83.28,46,28,7.65,14.4,46.47,1600108143
haines junction,CA,45.28,56,14,0.78,60.75,-137.51,1600108143
aldergrove,CA,64.0,100,90,4.7,49.06,-122.47,1600108143
neftegorsk,RU,49.5,83,21,9.82,52.8,51.17,1600108143
lokosovo,RU,50.09,94,100,7.31,61.13,74.82,1600108143
amapa,BR,91.0,52,91,4.14,1.0,-52.0,1600108144
coquimbo,CL,57.2,76,75,14.99,-29.95,-71.34,1600108121
ojinaga,MX,66.2,100,90,5.82,29.57,-104.42,1600108144
kurchum,KZ,57.63,37,87,4.29,48.57,83.65,1600108144
impfondo,CG,74.48,83,42,3.0,1.64,18.07,1600108144
shubarkuduk,KZ,64.17,35,100,8.75,49.14,56.49,1600108144
emet,TR,70.29,61,53,5.17,39.34,29.26,1600108025
bonthe,SL,80.17,82,99,8.86,7.53,-12.51,1600108023
doha,QA,91.4,75,0,2.24,25.29,51.53,1600108057
koubia,GN,76.71,89,78,2.62,11.58,-11.9,1600108145
tezu,IN,75.22,87,99,3.29,27.92,96.17,1600107860
sur,OM,80.71,70,25,7.78,22.57,59.53,1600108077
eyl,SO,78.39,78,17,23.91,7.98,49.82,1600108145
mariinsk,RU,46.8,83,55,5.95,56.21,87.75,1600108145
praia,CV,80.67,78,63,6.22,14.92,-23.51,1600108145
sulechow,PL,73.99,64,85,4.7,52.08,15.63,1600108146
havre-saint-pierre,CA,53.6,71,1,27.51,50.23,-63.6,1600108146
sayat,TM,68.0,40,0,2.24,38.78,63.88,1600108146
sikonge,TZ,75.9,34,59,4.38,-5.63,32.77,1600108146
taoudenni,ML,109.69,8,19,2.13,22.68,-3.98,1600108146
malindi,KE,76.62,86,5,12.3,-3.22,40.12,1600108147
aklavik,CA,41.0,80,75,10.29,68.22,-135.01,1600108148
henties bay,NA,55.99,79,0,5.01,-22.12,14.28,1600108148
panaba,MX,94.26,48,82,7.96,21.28,-88.27,1600108148
arlit,NE,104.29,8,4,17.0,18.74,7.39,1600108148
severnyy,RU,64.4,48,2,11.18,50.68,36.55,1600108148
burns lake,CA,51.48,53,100,4.43,54.23,-125.75,1600108148
corum,TR,64.72,60,0,5.64,40.5,34.75,1600108149
flin flon,CA,48.2,93,90,3.36,54.77,-101.86,1600108149
morrope,PE,69.8,64,20,12.75,-6.54,-80.01,1600108149
chapais,CA,48.2,61,75,13.87,49.78,-74.85,1600108149
yoichi,JP,57.0,100,81,3.0,43.2,140.77,1600108149
vanimo,PG,78.4,86,94,5.7,-2.67,141.3,1600108150
cap-aux-meules,CA,62.6,59,75,27.51,47.38,-61.86,1600108150
kamaishi,JP,66.13,88,100,7.31,39.27,141.88,1600108150
bayonne,FR,75.2,88,62,5.82,43.33,-1.42,1600108150
maputo,MZ,75.0,83,0,13.87,-25.97,32.59,1600107903
goderich,CA,63.0,64,48,13.2,43.75,-81.72,1600108150
cabedelo,BR,82.4,65,75,14.99,-6.98,-34.83,1600108150
ugoofaaru,MV,82.06,77,92,8.84,5.67,73.0,1600108151
general roca,AR,69.8,15,0,9.17,-39.03,-67.58,1600108151
kuusamo,FI,46.4,75,75,11.41,65.97,29.18,1600108151
menongue,AO,68.92,23,0,1.48,-14.66,17.69,1600108151
eston,CA,53.6,54,90,10.29,51.15,-108.75,1600108151
port shepstone,ZA,63.14,83,100,7.43,-30.74,30.45,1600108151
plymouth,US,77.0,44,1,13.87,41.83,-70.83,1600108152
pimentel,PE,69.8,64,20,12.75,-6.84,-79.93,1600108152
alyangula,AU,68.0,94,75,9.95,-13.85,136.42,1600108152
srednekolymsk,RU,39.33,85,0,6.82,67.45,153.68,1600108152
korla,CN,71.01,68,14,1.99,41.76,86.15,1600108152
san francisco,US,64.99,72,90,6.93,37.77,-122.42,1600107988
wajir,KE,81.79,58,58,15.79,1.75,40.06,1600108153
ust-nera,RU,38.16,77,41,4.54,64.57,143.2,1600108153
fort nelson,CA,44.6,81,75,4.81,58.81,-122.7,1600108153
sevojno,RS,66.2,68,0,3.36,43.84,19.9,1600108153
shingu,JP,66.88,74,0,5.32,33.73,135.98,1600108154
kijang,KR,68.0,88,74,6.93,35.24,129.21,1600108154
burgersdorp,ZA,51.85,32,0,10.04,-31.0,26.33,1600108154
were ilu,ET,52.88,77,12,4.29,10.6,39.43,1600108154
necochea,AR,57.0,40,0,4.0,-38.55,-58.74,1600107795
veere,NL,78.8,47,0,6.93,51.55,3.67,1600108154
seinajoki,FI,51.01,76,20,1.12,62.79,22.83,1600108154
garavuti,TJ,68.0,40,0,3.62,37.57,68.45,1600108155
muravlenko,RU,46.67,91,100,10.71,63.79,74.52,1600108155
tommot,RU,47.12,79,80,4.74,58.96,126.29,1600108155
trogir,HR,84.2,39,0,14.99,43.51,16.25,1600108155
mareeba,AU,68.0,88,75,11.41,-17.0,145.43,1600108155
kathu,TH,84.0,88,20,1.12,7.92,98.33,1600108155
corinto,GR,81.0,35,21,7.87,37.94,22.96,1600108078
tilichiki,RU,37.56,95,14,8.68,60.47,166.1,1600108156
qaqortoq,GL,44.6,36,75,3.36,60.72,-46.03,1600108156
la ronge,CA,50.0,87,90,4.7,55.1,-105.28,1600107892
sao sebastiao,BR,89.26,34,5,0.76,-23.76,-45.41,1600108156
wawa,NG,77.4,81,74,3.47,9.9,4.42,1600108156
sexsmith,CA,41.0,100,90,14.99,55.35,-118.79,1600108156
la grande,US,64.99,36,1,6.15,45.32,-118.09,1600108157
sartana,UA,73.0,100,0,7.0,47.17,37.7,1600108157
yumen,CN,51.26,37,0,8.81,40.28,97.2,1600108157
asau,RO,64.0,86,1,3.47,46.43,26.4,1600108157
algiers,DZ,77.0,78,20,19.46,36.75,3.04,1600108102
la rochelle,FR,80.6,44,4,6.93,46.17,-1.15,1600108157
port keats,AU,75.38,85,0,8.41,-14.25,129.55,1600108157
port augusta,AU,48.99,93,0,5.82,-32.5,137.77,1600108067
